english,korean
"Today, during lunch, we had our monthly Christian gathering at work.","오늘 점심시간에 회사에서 매달 모이는 크리스천 모임 예배가 있었어요."
"We met in a conference room, and about twelve coworkers showed up.","회사 회의실에서 모였고, 직장 동료들 약 열두 명 정도가 함께했습니다."
"Normally, we meet on the last Thursday of the month,","보통은 매달 마지막 주 목요일에 모이는데,"
"but December is always busy, so we met earlier this week, on Wednesday.","12월은 워낙 바쁘다 보니까 이번에는 이번 주 수요일에 조금 일찍 모이게 됐어요."
"We invited Pastor Bae from New Church, and she shared the message again today.","오늘도 새교회(New Church)의 배 목사님을 모시고 말씀을 들었습니다."
"She talked about how culture in the world can pull us in,","목사님은 세상 문화가 우리를 쉽게 끌어당길 수 있다는 것과,"
"and how God warns us not to just go along with it.","그 흐름에 그냥 휩쓸리지 말라는 하나님의 경고에 대해 말씀해 주셨어요."
"One line really stayed with me.","특히 한 문장이 제 마음에 남았습니다."
"She said, “Don’t be swept away by the culture of the world.”","“세상 문화에 휩쓸리지 말라”는 말씀이었어요."
"As I listened, I started thinking about the end-of-year season.","그 말씀을 들으면서 자연스럽게 연말을 떠올리게 됐습니다."
"All the parties, spending, and distractions.","각종 모임들, 소비, 그리고 마음이 들뜨기 쉬운 분위기 속에서"
"It made me pause and look at my own heart.","제 자신의 마음을 잠시 멈추고 돌아보게 됐어요."
"I was reminded that my faith doesn’t stop at church.","제 신앙은 교회 안에서만 머무는 게 아니라,"
"It belongs in my workplace too.","제가 일하는 직장에서도 이어져야 한다는 걸 다시 한번 느꼈습니다."
"In how I treat my coworkers,","동료들을 대하는 태도에서,"
"in choosing kindness,","작은 친절을 선택하는 순간에서,"
"and in trying to do good, even in small ways.","그리고 사소해 보이더라도 선한 일을 하려는 마음에서 말이에요."
"I felt grateful for that reminder today.","오늘 그런 리마인드를 받게 돼서 참 감사했습니다."
